City,Longitude,Latitude,Country,Continent
Kabul,69.183333,34.51666667,Afghanistan,Asia
Mariehamn,19.9,60.116667,Aland Islands,Europe
Tirana,19.816667,41.31666667,Albania,Europe
Algiers,3.05,36.75,Algeria,Africa
Pago Pago,-170.7,-14.26666667,American Samoa,Australia
Andorra la Vella,1.516667,42.5,Andorra,Europe
Luanda,13.216667,-8.833333333,Angola,Africa
The Valley,-63.05,18.21666667,Anguilla,North America
Saint John’s,-61.85,17.11666667,Antigua and Barbuda,North America
Buenos Aires,-58.666667,-34.58333333,Argentina,South America
Yerevan,44.5,40.16666667,Armenia,Europe
Oranjestad,-70.033333,12.51666667,Aruba,North America
Canberra,149.133333,-35.26666667,Australia,Australia
Vienna,16.366667,48.2,Austria,Europe
Baku,49.866667,40.38333333,Azerbaijan,Europe
Nassau,-77.35,25.08333333,Bahamas,North America
Manama,50.566667,26.23333333,Bahrain,Asia
Dhaka,90.4,23.71666667,Bangladesh,Asia
Bridgetown,-59.616667,13.1,Barbados,North America
Minsk,27.566667,53.9,Belarus,Europe
Brussels,4.333333,50.83333333,Belgium,Europe
Belmopan,-88.766667,17.25,Belize,Central America
Porto-Novo,2.616667,6.483333333,Benin,Africa
Hamilton,-64.783333,32.28333333,Bermuda,North America
Thimphu,89.633333,27.46666667,Bhutan,Asia
La Paz,-68.15,-16.5,Bolivia,South America
Sarajevo,18.416667,43.86666667,Bosnia and Herzegovina,Europe
Gaborone,25.9,-24.63333333,Botswana,Africa
Brasilia,-47.916667,-15.78333333,Brazil,South America
Diego Garcia,72.4,-7.3,British Indian Ocean Territory,Africa
Road Town,-64.616667,18.41666667,British Virgin Islands,North America
Bandar Seri Begawan,114.933333,4.883333333,Brunei Darussalam,Asia
Sofia,23.316667,42.68333333,Bulgaria,Europe
Ouagadougou,-1.516667,12.36666667,Burkina Faso,Africa
Bujumbura,29.35,-3.366666667,Burundi,Africa
Phnom Penh,104.916667,11.55,Cambodia,Asia
Yaounde,11.516667,3.866666667,Cameroon,Africa
Ottawa,-75.7,45.41666667,Canada,Central America
Praia,-23.516667,14.91666667,Cape Verde,Africa
George Town,-81.383333,19.3,Cayman Islands,North America
Bangui,18.583333,4.366666667,Central African Republic,Africa
N’Djamena,15.033333,12.1,Chad,Africa
Santiago,-70.666667,-33.45,Chile,South America
Beijing,116.383333,39.91666667,China,Asia
The Settlement,105.716667,-10.41666667,Christmas Island,Australia
West Island,96.833333,-12.16666667,Cocos Islands,Australia
Bogota,-74.083333,4.6,Colombia,South America
Moroni,43.233333,-11.7,Comoros,Africa
Avarua,-159.766667,-21.2,Cook Islands,Australia
San Jose,-84.083333,9.933333333,Costa Rica,Central America
Yamoussoukro,-5.266667,6.816666667,Cote d’Ivoire,Africa
Zagreb,16,45.8,Croatia,Europe
Havana,-82.35,23.11666667,Cuba,North America
Willemstad,-68.916667,12.1,Curaao,North America
Nicosia,33.366667,35.16666667,Cyprus,Europe
Prague,14.466667,50.08333333,Czech Republic,Europe
Kinshasa,15.3,-4.316666667,Democratic Republic of the Congo,Africa
Copenhagen,12.583333,55.66666667,Denmark,Europe
Djibouti,43.15,11.58333333,Djibouti,Africa
Roseau,-61.4,15.3,Dominica,North America
Santo Domingo,-69.9,18.46666667,Dominican Republic,North America
Quito,-78.5,-0.216666667,Ecuador,South America
Cairo,31.25,30.05,Egypt,Africa
San Salvador,-89.2,13.7,El Salvador,Central America
Malabo,8.783333,3.75,Equatorial Guinea,Africa
Asmara,38.933333,15.33333333,Eritrea,Africa
Tallinn,24.716667,59.43333333,Estonia,Europe
Addis Ababa,38.7,9.033333333,Ethiopia,Africa
Stanley,-57.85,-51.7,Falkland Islands,South America
Torshavn,-6.766667,62,Faroe Islands,Europe
Palikir,158.15,6.916666667,Federated States of Micronesia,Australia
Suva,178.416667,-18.13333333,Fiji,Australia
Helsinki,24.933333,60.16666667,Finland,Europe
Paris,2.333333,48.86666667,France,Europe
Papeete,-149.566667,-17.53333333,French Polynesia,Australia
Libreville,9.45,0.383333333,Gabon,Africa
Tbilisi,44.833333,41.68333333,Georgia,Europe
Berlin,13.4,52.51666667,Germany,Europe
Accra,-0.216667,5.55,Ghana,Africa
Gibraltar,-5.35,36.13333333,Gibraltar,Europe
Athens,23.733333,37.98333333,Greece,Europe
Nuuk,-51.75,64.18333333,Greenland,Central America
Saint George’s,-61.75,12.05,Grenada,North America
Hagatna,144.733333,13.46666667,Guam,Australia
Guatemala City,-90.516667,14.61666667,Guatemala,Central America
Saint Peter Port,-2.533333,49.45,Guernsey,Europe
Conakry,-13.7,9.5,Guinea,Africa
Bissau,-15.583333,11.85,Guinea-Bissau,Africa
Georgetown,-58.15,6.8,Guyana,South America
Port-au-Prince,-72.333333,18.53333333,Haiti,North America
Tegucigalpa,-87.216667,14.1,Honduras,Central America
Budapest,19.083333,47.5,Hungary,Europe
Reykjavik,-21.95,64.15,Iceland,Europe
New Delhi,77.2,28.6,India,Asia
Jakarta,106.816667,-6.166666667,Indonesia,Asia
Tehran,51.416667,35.7,Iran,Asia
Baghdad,44.4,33.33333333,Iraq,Asia
Dublin,-6.233333,53.31666667,Ireland,Europe
Douglas,-4.483333,54.15,Isle of Man,Europe
Jerusalem,35.233333,31.76666667,Israel,Asia
Rome,12.483333,41.9,Italy,Europe
Kingston,-76.8,18,Jamaica,North America
Tokyo,139.75,35.68333333,Japan,Asia
Saint Helier,-2.1,49.18333333,Jersey,Europe
Amman,35.933333,31.95,Jordan,Asia
Astana,71.416667,51.16666667,Kazakhstan,Asia
Nairobi,36.816667,-1.283333333,Kenya,Africa
Tarawa,169.533333,-0.883333333,Kiribati,Australia
Pristina,21.166667,42.66666667,Kosovo,Europe
Kuwait City,47.966667,29.36666667,Kuwait,Asia
Bishkek,74.6,42.86666667,Kyrgyzstan,Asia
Vientiane,102.6,17.96666667,Laos,Asia
Riga,24.1,56.95,Latvia,Europe
Beirut,35.5,33.86666667,Lebanon,Asia
Maseru,27.483333,-29.31666667,Lesotho,Africa
Monrovia,-10.8,6.3,Liberia,Africa
Tripoli,13.166667,32.88333333,Libya,Africa
Vaduz,9.516667,47.13333333,Liechtenstein,Europe
Vilnius,25.316667,54.68333333,Lithuania,Europe
Luxembourg,6.116667,49.6,Luxembourg,Europe
Skopje,21.433333,42,Macedonia,Europe
Antananarivo,47.516667,-18.91666667,Madagascar,Africa
Lilongwe,33.783333,-13.96666667,Malawi,Africa
Kuala Lumpur,101.7,3.166666667,Malaysia,Asia
Male,73.5,4.166666667,Maldives,Asia
Bamako,-8,12.65,Mali,Africa
Valletta,14.5,35.88333333,Malta,Europe
Majuro,171.383333,7.1,Marshall Islands,Australia
Nouakchott,-15.966667,18.06666667,Mauritania,Africa
Port Louis,57.483333,-20.15,Mauritius,Africa
Mexico City,-99.133333,19.43333333,Mexico,Central America
Chisinau,28.85,47,Moldova,Europe
Monaco,7.416667,43.73333333,Monaco,Europe
Ulaanbaatar,106.916667,47.91666667,Mongolia,Asia
Podgorica,19.266667,42.43333333,Montenegro,Europe
Plymouth,-62.216667,16.7,Montserrat,North America
Rabat,-6.816667,34.01666667,Morocco,Africa
Maputo,32.583333,-25.95,Mozambique,Africa
Rangoon,96.15,16.8,Myanmar,Asia
Windhoek,17.083333,-22.56666667,Namibia,Africa
Yaren,166.920867,-0.5477,Nauru,Australia
Kathmandu,85.316667,27.71666667,Nepal,Asia
Amsterdam,4.916667,52.35,Netherlands,Europe
Noumea,166.45,-22.26666667,New Caledonia,Australia
Wellington,174.783333,-41.3,New Zealand,Australia
Managua,-86.25,12.13333333,Nicaragua,Central America
Niamey,2.116667,13.51666667,Niger,Africa
Abuja,7.533333,9.083333333,Nigeria,Africa
Alofi,-169.916667,-19.01666667,Niue,Australia
Kingston,167.966667,-29.05,Norfolk Island,Australia
Pyongyang,125.75,39.01666667,North Korea,Asia
North Nicosia,33.366667,35.183333,Northern Cyprus,Europe
Saipan,145.75,15.2,Northern Mariana Islands,Australia
Oslo,10.75,59.91666667,Norway,Europe
Muscat,58.583333,23.61666667,Oman,Asia
Islamabad,73.05,33.68333333,Pakistan,Asia
Melekeok,134.633333,7.483333333,Palau,Australia
Jerusalem,35.233333,31.76666667,Palestine,Asia
Panama City,-79.533333,8.966666667,Panama,Central America
Port Moresby,147.183333,-9.45,Papua New Guinea,Australia
Asuncion,-57.666667,-25.26666667,Paraguay,South America
Lima,-77.05,-12.05,Peru,South America
Manila,120.966667,14.6,Philippines,Asia
Adamstown,-130.083333,-25.06666667,Pitcairn Islands,Australia
Warsaw,21,52.25,Poland,Europe
Lisbon,-9.133333,38.71666667,Portugal,Europe
San Juan,-66.116667,18.46666667,Puerto Rico,North America
Doha,51.533333,25.28333333,Qatar,Asia
Brazzaville,15.283333,-4.25,Republic of Congo,Africa
Bucharest,26.1,44.43333333,Romania,Europe
Moscow,37.6,55.75,Russia,Europe
Kigali,30.05,-1.95,Rwanda,Africa
Gustavia,-62.85,17.88333333,Saint Barthelemy,North America
Jamestown,-5.716667,-15.93333333,Saint Helena,Africa
Basseterre,-62.716667,17.3,Saint Kitts and Nevis,North America
Castries,-61,14,Saint Lucia,North America
Marigot,-63.0822,18.0731,Saint Martin,North America
Saint-Pierre,-56.183333,46.76666667,Saint Pierre and Miquelon,Central America
Kingstown,-61.216667,13.13333333,Saint Vincent and the Grenadines,Central America
Apia,-171.766667,-13.81666667,Samoa,Australia
San Marino,12.416667,43.93333333,San Marino,Europe
Sao Tome,6.733333,0.333333333,Sao Tome and Principe,Africa
Riyadh,46.7,24.65,Saudi Arabia,Asia
Dakar,-17.633333,14.73333333,Senegal,Africa
Belgrade,20.5,44.83333333,Serbia,Europe
Victoria,55.45,-4.616666667,Seychelles,Africa
Freetown,-13.233333,8.483333333,Sierra Leone,Africa
Singapore,103.85,1.283333333,Singapore,Asia
Philipsburg,-63.033333,18.01666667,Sint Maarten,North America
Bratislava,17.116667,48.15,Slovakia,Europe
Ljubljana,14.516667,46.05,Slovenia,Europe
Honiara,159.95,-9.433333333,Solomon Islands,Australia
Mogadishu,45.333333,2.066666667,Somalia,Africa
Hargeisa,44.05,9.55,Somaliland,Africa
Pretoria,28.216667,-25.7,South Africa,Africa
King Edward Point,-36.5,-54.283333,South Georgia and South Sandwich Islands,Antarctica
Seoul,126.983333,37.55,South Korea,Asia
Juba,31.616667,4.85,South Sudan,Africa
Madrid,-3.683333,40.4,Spain,Europe
Colombo,79.833333,6.916666667,Sri Lanka,Asia
Khartoum,32.533333,15.6,Sudan,Africa
Paramaribo,-55.166667,5.833333333,Suriname,South America
Longyearbyen,15.633333,78.21666667,Svalbard,Europe
Mbabane,31.133333,-26.31666667,Swaziland,Africa
Stockholm,18.05,59.33333333,Sweden,Europe
Bern,7.466667,46.91666667,Switzerland,Europe
Damascus,36.3,33.5,Syria,Asia
Taipei,121.516667,25.03333333,Taiwan,Asia
Dushanbe,68.766667,38.55,Tajikistan,Asia
Dodoma,35.74121839,-5.969982638,Tanzania,Africa
Bangkok,100.516667,13.75,Thailand,Asia
Banjul,-16.566667,13.45,The Gambia,Africa
Dili,125.6,-8.583333333,East Timor,Asia
Lome,1.216667,6.116666667,Togo,Africa
Atafu,-171.833333,-9.166667,Tokelau,Australia
Nuku’alofa,-175.2,-21.13333333,Tonga,Australia
Port of Spain,-61.516667,10.65,Trinidad and Tobago,North America
Tunis,10.183333,36.8,Tunisia,Africa
Ankara,32.866667,39.93333333,Turkey,Europe
Ashgabat,58.383333,37.95,Turkmenistan,Asia
Grand Turk,-71.133333,21.46666667,Turks and Caicos Islands,North America
Funafuti,179.216667,-8.516666667,Tuvalu,Australia
Kampala,32.55,0.316666667,Uganda,Africa
Kyiv,30.516667,50.43333333,Ukraine,Europe
Abu Dhabi,54.366667,24.46666667,United Arab Emirates,Asia
London,-0.083333,51.5,United Kingdom,Europe
"Washington, D.C.",-77,38.883333,United States,Central America
Montevideo,-56.166667,-34.85,Uruguay,South America
Charlotte Amalie,-64.933333,18.35,US Virgin Islands,North America
Tashkent,69.25,41.31666667,Uzbekistan,Asia
Port-Vila,168.316667,-17.73333333,Vanuatu,Australia
Vatican City,12.45,41.9,Vatican City,Europe
Caracas,-66.866667,10.48333333,Venezuela,South America
Hanoi,105.85,21.03333333,Vietnam,Asia
Mata-Utu,-171.933333,-13.95,Wallis and Futuna,Australia
Sanaa,44.2,15.35,Yemen,Asia
Lusaka,28.283333,-15.41666667,Zambia,Africa
Harare,31.033333,-17.81666667,Zimbabwe,Africa
