MTFCC,OID,GEOID,STATE,STATENS,BASENAME,NAME,LSADC,FUNCSTAT,AREALAND,AREAWATER,UR,REGION,DIVISION,STUSAB,CENTLAT,CENTLON,INTPTLAT,INTPTLON
G4000,2749065038753,01,01,01779775,Alabama,Alabama,00,A,131173021778,4594353862,,3,6,AL,+32.7436859,-086.8467951,+32.7396323,-086.8434593
G4000,2749045059742,02,02,01785533,Alaska,Alaska,00,A,1478954710615,245366562061,,4,9,AK,+63.4130518,-152.8796317,+63.3473560,-152.8397334
G4000,274901053753069,04,04,01779777,Arizona,Arizona,00,A,294360315403,859529147,,4,8,AZ,+34.2751017,-111.6605337,+34.2039355,-111.6063565
G4000,2749045148374,05,05,00068085,Arkansas,Arkansas,00,A,134678821794,3104016830,,3,7,AR,+34.8941724,-092.4418434,+34.8955256,-092.4446262
G4000,2749018475066,06,06,01779778,California,California,00,A,403668729709,20296813654,,4,9,CA,+37.1547585,-119.5277714,+37.1551773,-119.5434183
G4000,2749086215995,08,08,01779779,Colorado,Colorado,00,A,268416653707,1187859611,,4,8,CO,+38.9976179,-105.5478280,+38.9937669,-105.5087122
G4000,27490331955805,09,09,01779780,Connecticut,Connecticut,00,A,12542289823,1815824857,,1,1,CT,+41.5751437,-072.7393081,+41.5798637,-072.7466572
G4000,27490331618368,10,10,01779781,Delaware,Delaware,00,A,5046719455,1399191818,,3,5,DE,+38.9932570,-075.4514104,+38.9985661,-075.4416440
G4000,27490331294090,11,11,01702382,District of Columbia,District of Columbia,00,A,158314712,18712871,,3,5,DC,+38.9047577,-077.0162863,+38.9042474,-077.0165167
G4000,2749046365780,12,12,00294478,Florida,Florida,00,A,138954404443,45979888072,,3,5,FL,+28.4062029,-082.5022125,+28.3989775,-082.5143005
G4000,2749048077737,13,13,01705317,Georgia,Georgia,00,A,149485550209,4419434266,,3,5,GA,+32.6279417,-083.4165286,+32.6295789,-083.4235109
G4000,2749047648128,15,15,01779782,Hawaii,Hawaii,00,A,16634007011,11777792245,,4,9,HI,+21.0508739,-157.9936887,+19.8281671,-155.4950421
G4000,27490130780184,16,16,01779783,Idaho,Idaho,00,A,214049937374,2391563813,,4,8,ID,+44.3524056,-114.6136830,+44.3484222,-114.5588538
G4000,27490100360203,17,17,01779784,Illinois,Illinois,00,A,143779846608,6215740949,,2,3,IL,+40.1006009,-089.1500886,+40.1028754,-089.1526108
G4000,2749051705222,18,18,00448508,Indiana,Indiana,00,A,92788742403,1538558469,,2,3,IN,+39.9060003,-086.2872673,+39.9013136,-086.2919129
G4000,2749058169487,19,19,01779785,Iowa,Iowa,00,A,144657468817,1087980049,,2,4,IA,+42.0753593,-093.4958531,+42.0700243,-093.4933473
G4000,2749051425496,20,20,00481813,Kansas,Kansas,00,A,211753602474,1345882861,,2,4,KS,+38.4938959,-098.3786217,+38.4985464,-098.3834298
G4000,27490100360204,21,21,01779786,Kentucky,Kentucky,00,A,102282391166,2372437825,,3,6,KY,+37.5351932,-085.3018425,+37.5336844,-085.2929801
G4000,2749052402301,22,22,01629543,Louisiana,Louisiana,00,A,111901565009,23749955295,,3,7,LA,+30.9025909,-091.7982287,+30.8634368,-091.7987173
G4000,27490100936543,23,23,01779787,Maine,Maine,00,A,79887942759,11745416127,,1,1,ME,+45.2610880,-069.2136624,+45.4092843,-068.6666160
G4000,27490140608205,24,24,01714934,Maryland,Maryland,00,A,25151854722,6979212482,,3,5,MD,+38.9463607,-076.6789663,+38.9466584,-076.6744939
G4000,27490203627104,25,25,00606926,Massachusetts,Massachusetts,00,A,20204302435,7130748339,,1,1,MA,+42.1618490,-071.4975238,+42.1565196,-071.4895915
G4000,2749048217992,26,26,01779789,Michigan,Michigan,00,A,146609254262,103877553235,,2,3,MI,+44.8382252,-085.6650495,+44.8441768,-085.6604907
G4000,27490186175787,27,27,00662849,Minnesota,Minnesota,00,A,206231744272,18949219952,,2,4,MN,+46.3167433,-094.1982395,+46.3159573,-094.1996043
G4000,2749046721299,28,28,01779790,Mississippi,Mississippi,00,A,121532211306,3916068051,,3,6,MS,+32.6972945,-089.6552498,+32.6864714,-089.6561377
G4000,2749046934061,29,29,01779791,Missouri,Missouri,00,A,178052865028,2486372732,,2,4,MO,+38.3569819,-092.4580631,+38.3507500,-092.4567826
G4000,2749047339960,30,30,00767982,Montana,Montana,00,A,376973642667,3866720822,,4,8,MT,+47.0526547,-109.6328844,+47.0511770,-109.6348174
G4000,2749072488932,31,31,01779792,Nebraska,Nebraska,00,A,198957258570,1371228720,,2,4,NE,+41.5381064,-099.7949770,+41.5433053,-099.8118646
G4000,27490286467734,32,32,01779793,Nevada,Nevada,00,A,284537049651,1839662764,,4,8,NV,+39.3292324,-116.6313443,+39.3310928,-116.6151469
G4000,27490227215319,33,33,01779794,New Hampshire,New Hampshire,00,A,23190065018,1026029232,,1,1,NH,+43.6740330,-071.5738494,+43.6726907,-071.5843145
G4000,27490286138606,34,34,01779795,New Jersey,New Jersey,00,A,19048515040,3544426114,,1,2,NJ,+40.1050608,-074.6580449,+40.1072744,-074.6652012
G4000,27490100936841,35,35,00897535,New Mexico,New Mexico,00,A,314197511545,727504660,,4,8,NM,+34.4075787,-106.1126593,+34.4346843,-106.1316181
G4000,27490100833860,36,36,01779796,New York,New York,00,A,122050448177,19244881040,,1,2,NY,+42.9198015,-075.5942771,+42.9133974,-075.5962723
G4000,2749018629826,37,37,01027616,North Carolina,North Carolina,00,A,125932673911,13456657734,,3,5,NC,+35.5401758,-079.1299304,+35.5397100,-079.1308636
G4000,2749051615269,38,38,01779797,North Dakota,North Dakota,00,A,178698456465,4410634249,,2,4,ND,+47.4504657,-100.4660576,+47.4421740,-100.4608258
G4000,2749046634335,39,39,01085497,Ohio,Ohio,00,A,105823943364,10273794584,,2,3,OH,+40.4097377,-082.7168504,+40.4149297,-082.7119975
G4000,2749092328581,40,40,01102857,Oklahoma,Oklahoma,00,A,177664359177,3373520539,,3,7,OK,+35.5885699,-097.4947176,+35.5900815,-097.4867789
G4000,27490206508673,41,41,01155107,Oregon,Oregon,00,A,248627892771,6171487395,,4,9,OR,+43.9396009,-120.6109265,+43.9717125,-120.6229578
G4000,27490163788605,42,42,01779798,Pennsylvania,Pennsylvania,00,A,115881835814,3397858897,,1,2,PA,+40.9011320,-077.8369304,+40.9046013,-077.8275298
G4000,27490224494057,44,44,01219835,Rhode Island,Rhode Island,00,A,2677756195,1323694155,,1,1,RI,+41.5940253,-071.5247212,+41.5964850,-071.5264901
G4000,27490140244538,45,45,01779799,South Carolina,South Carolina,00,A,77865784756,5074748453,,3,5,SC,+33.8758236,-080.8583136,+33.8741776,-080.8542639
G4000,2749092876144,46,46,01785534,South Dakota,South Dakota,00,A,196346030712,3383625769,,2,4,SD,+44.4445675,-100.2270264,+44.4467957,-100.2381762
G4000,2749051118086,47,47,01325873,Tennessee,Tennessee,00,A,106791210660,2323348950,,3,6,TN,+35.8582556,-086.3490784,+35.8585684,-086.3495163
G4000,2749098452115,48,48,01779801,Texas,Texas,00,A,676678029885,18981937970,,3,7,TX,+31.4277553,-099.2890830,+31.4347032,-099.2818238
G4000,27490187824724,49,49,01455989,Utah,Utah,00,A,213355015181,6530030915,,4,8,UT,+39.3063102,-111.6703458,+39.3349925,-111.6563326
G4000,27490227024193,50,50,01779802,Vermont,Vermont,00,A,23873097244,1030227476,,1,1,VT,+44.0693396,-072.6660634,+44.0685773,-072.6691839
G4000,2749099610787,51,51,01779803,Virginia,Virginia,00,A,102258161424,8528087515,,3,5,VA,+37.5182631,-078.6759174,+37.5222512,-078.6681938
G4000,27490225755057,53,53,01779804,Washington,Washington,00,A,172117813215,12549888998,,4,9,WA,+47.4148772,-120.5954943,+47.4073238,-120.5757999
G4000,27490156252396,54,54,01779805,West Virginia,West Virginia,00,A,62266312017,489190656,,3,5,WV,+38.6411860,-080.6234555,+38.6472854,-080.6183274
G4000,2749096104710,55,55,01779806,Wisconsin,Wisconsin,00,A,140292933626,29344263638,,2,3,WI,+44.6273210,-089.7098065,+44.6309071,-089.7093916
G4000,27490227778497,56,56,01779807,Wyoming,Wyoming,00,A,251458584024,1867631789,,4,8,WY,+42.9960999,-107.5514568,+42.9896591,-107.5443922
G4000,27490459971956,60,60,01802701,American Samoa,American Samoa,00,A,197759069,1307243751,,9,,AS,-13.9638307,-170.0822667,-14.2671590,-170.6682674
G4000,27490748116647,66,66,01802705,Guam,Guam,00,A,543555845,934337453,,9,,GU,+13.4427156,+144.7693797,+13.4417451,+144.7719021
G4000,27490460013836,69,69,01779809,Commonwealth of the Northern Mariana Islands,Commonwealth of the Northern Mariana Islands,00,A,472292529,4644252458,,9,,MP,+16.7974379,+145.5968710,+14.9367835,+145.6010210
G4000,2749082215471,72,72,01779808,Puerto Rico,Puerto Rico,00,A,8868691450,4922587165,,9,,PR,+18.2164715,-066.4147614,+18.2176480,-066.4107992
G4000,27490228303490,78,78,01802710,United States Virgin Islands,United States Virgin Islands,00,A,348021896,1550236199,,9,,VI,+18.0593788,-064.8387617,+18.3267480,-064.9712508