name,rank,charter,consolidated_assets
CITYWIDE BKS/HEARTLAND FNCL USA ,347,SNM,2632
HOWARD BK/HOWARD BC ,348,SNM,2625
FIRST BUS BK/FIRST BUS FS ,349,SNM,2617
BANK OF MO/RELIABLE CMNTY BSHRS ,350,SNM,2601
NORTHERN B&TC/NORTHERN BC ,351,SNM,2585
NATIONAL EXCHANGE B&T/NEB CORP ,352,NAT,2581
SOUTHERN FIRST BK/SOUTHERN FIRST BSHRS ,353,SNM,2579
LEVEL ONE BK/LEVEL ONE BC ,354,SNM,2573
FIRST GUARANTY BK/SMITH & HOOD HC LLC ,355,SNM,2566
DL EVANS BK/DL EVANS BC ,356,SNM,2554
FRANDSEN B&T/FRANDSEN FC ,357,SMB,2541
WESTSTAR BK/WESTSTAR BHC ,358,SMB,2520
TOMPKINS TC/TOMPKINS FNCL CORP ,359,SNM,2516
FIRST B&TC/FIRST BC ,360,SMB,2514
FIRST CHOICE BK/FIRST CHOICE BC ,361,SMB,2506
BRYANT BK/ ,362,SNM,2502
WOORI AMER BK/ ,363,SNM,2474
CENTRAL BK OF ST LOUIS/CENTRAL BANCOMPANY INC ,364,SMB,2465
CHEMUNG CANAL TC/CHEMUNG FC ,365,SMB,2437
LEADER BK NA/LEADER BC ,366,NAT,2420
REPUBLIC BK OF CHICAGO/REPUBLIC BC CO ,367,SNM,2415
GULF COAST B&TC/ ,368,SNM,2411
AUSTIN BK TX NA/JSA FAM LP ,369,NAT,2410
AUSTIN BK TX NA/JANE AUSTIN CHAPMAN LP ,369,NAT,NA
JEFFERSON BK/JEFFERSON BSHRS ,370,SNM,2407
INVESTAR BK NA/INVESTAR HC ,371,NAT,2406
FIRST FIDELITY BK/FIRST FIDELITY BC ,372,SMB,2406
FIRST BK/ ,373,SNM,2406
FIRST NB/FIRST BC ,374,NAT,2403
STEARNS BK NA/STEARNS FNCL SVC ESOP ,375,NAT,2401
BANK ANN ARBOR/ARBOR BC ,376,SNM,2389
MINNWEST BK/MINNWEST CORP ,377,SNM,2364
NEW MEXICO B&TC/HEARTLAND FNCL USA ,378,SNM,2358
FIRST DAKOTA NB/FIRST DAKOTA FC ,379,NAT,2353
BANTERRA BK/BANTERRA CORP ,380,SNM,2343
ARMSTRONG BK/IRONHORSE FNCL GRP ,381,SNM,2340
EMPRISE BK/EMPRISE FC ,382,SNM,2337
MIDWEST BANKCENTRE/STUPP BROS ,383,SMB,2336
NORTHRIM BK/NORTHRIM BC ,384,SNM,2335
ACADEMY BK NA/DICKINSON FC II ,385,NAT,2327
KS STATEBANK/MANHATTAN BC ,386,SNM,2318
CITIZENS & NORTHERN BK/CITIZENS & NORTHERN CORP ,387,SNM,2317
FIRST FARMERS B&TC/FIRST FARMERS FC ,388,SMB,2313
LAKESIDE BK/LAKESIDE BC ,389,SNM,2302
UNITED BUS BK/BAYCOM CORP ,390,SMB,2287
VILLAGE B&TC NA/WINTRUST FC ,391,NAT,2283
COUNTRY CLUB BK/CCB FNCL CORP ,392,SMB,2277
PEOPLES BK A CODORUS VALLEY CO/CODORUS VALLEY BC ,393,SNM,2275
FIRST FL INTEGRITY BK/TGR FNCL ,394,SMB,2272
CB&S BK/CBS BANC CORP ,395,SNM,2247
INTERAUDI BK/ ,396,SNM,2242
BANKWELL BK/BANKWELL FNCL GRP ,397,SNM,2241
PROFESSIONAL BK/PROFESSIONAL HOLD CORP ,398,SMB,2234
FIRST WESTERN TR BK/FIRST WESTERN FNCL ,399,SNM,2205
CENTRAL VALLEY CMNTY BK/CENTRAL VALLEY CMNTY BC ,400,SNM,2200
BRADESCO BAC FL BK/LECCE HOLDS SA ,401,SNM,2160
METRO CITY BK/METROCITY BSHRS ,402,SNM,2159
SOUTHEAST BK/EDUCATION LOAN FNC ,403,SNM,2151
FIVE STAR BK/FIVE STAR BC ,404,SNM,2150
COMMUNITY BK OF THE CHESAPEAKE/COMMUNITY FC ,405,SNM,2148
SUNWEST BK/H BC LLC ,406,SNM,2148
TRADITIONAL BK/TRADITIONAL BC ,407,SNM,2140
CITIZENS & FARMERS BK/C&F FC ,408,SNM,2137
NORTHWEST BK/NORTHWEST FC ,409,SNM,2135
EVANS BK NA/EVANS BC ,410,NAT,2129
CASHMERE VALLEY BK/ ,411,SNM,2120
QUAD CITY B&TC/QCR HOLDS ,412,SMB,2107
PARKE BK/PARKE BC ,413,SNM,2103
AMERICAN FNB/AFNB HOLD ,414,NAT,2101
BANK INDEP/BANCINDEPENDENT ,415,SMB,2100
MONTECITO B&T/MONTECITO BC ,416,SNM,2096
FIRST CITIZENS NB/FIRST CITIZENS BSHRS ,417,NAT,2081
CHOICEONE BK/CHOICEONE FS ,418,SMB,2067
BTH BK NA/BT HOLD ,419,NAT,2060
RIVER B&T/RIVER FC ,420,SNM,2059
CAPITAL BANK NA/CAPITAL BC ,421,NAT,2057
OLD PLANK TRAIL CMNTY BK NA/WINTRUST FC ,422,NAT,2057
PACIFIC CITY BK/PCB BC ,423,SNM,2051
GATEWAY FIRST BK/ ,424,SNM,2049
UNITED BK/UNITED BC ,425,SNM,2048
BANK OF UT/BOU BC ,426,SMB,2045
SHORE UNITED BK/SHORE BSHRS ,427,SMB,2039
LIBERTYVILLE B&TC NA/WINTRUST FC ,428,NAT,2034
COASTAL CMNTY BK/COASTAL FNCL CORP ,429,SMB,2028
VIST BK/TOMPKINS FNCL CORP ,430,SNM,2025
WAYNE BK/NORWOOD FNCL ,431,SNM,2011
JOHN MARSHALL BK/JOHN MARSHALL BC ,432,SMB,2008
CORNERSTONE BK/FIRST YORK BC ,433,SMB,2001
WHITAKER BK/WHITAKER BC ,434,SMB,1999
UNITY BK/UNITY BC ,435,SNM,1998
FCB BKS/FIRST CO BANCORP ,436,SNM,1997
FIRST CITIZENS CMNTY BK/CITIZENS FNCL SVC ,437,SMB,1993
AMERICAN BK CTR/AMERICAN BC ,438,SNM,1982
BANESCO USA/ ,439,SNM,1971
FARMERS & MRCH ST BK/FARMERS & MRCH BC ,440,SNM,1969
CONGRESSIONAL BK/CONGRESSIONAL BSHRS ,441,SNM,1968
ISABELLA BK/ISABELLA BK CORP ,442,SMB,1968
FIRST ST BK/BRISCOE RANCH ,443,SNM,1962
UNITED BK IA/IDA GROVE BSHRS ,444,SNM,1957
FIRSTCAPITAL BK OF TX NA/FIRST BSHRS OF TX ,445,NAT,1949
CALIFORNIA BK OF CMRC/CALIFORNIA BC ,446,SNM,1948
AMERICAN BK NA/AMERICAN BK HOLDING CORP ,447,NAT,1934
LUANA SVG BK/LUANA BC ,448,SNM,1932
DUBUQUE B&TC/HEARTLAND FNCL USA ,449,SNM,1932
FIRST BK HIGHLAND PARK/FIRST BK CHICAGO CORP ,450,SNM,1930
FIRST WESTERN B&TC/WESTBRAND ,451,SMB,1924
MARQUETTE BK/MARQUETTE NAT CORP ,452,SMB,1915
TRI CITY NB/TRI CITY BSHRS CORP ,453,NAT,1914
FIDELITY DEPOSIT & DISCOUNT BK/FIDELITY D&D BC INC ,454,SNM,1908
BEAL BK/BEAL FNCL CORP ,455,SNM,1908
HABIB AMER BK/MAHAM BETEILIGUNGSGESELLSCHAFT ,456,SNM,1901
EXTRACO BKS NA/EXTRACO CORP ,457,NAT,1900
ORANGE B&TC/ORANGE COUNTY BC ,458,SMB,1900
FIRST NB/FIRST PARAGOULD BSHRS ,459,NAT,1889
BANK OF CASTILE/TOMPKINS FNCL CORP ,460,SNM,1887
SHINHAN BK AMER/ ,461,SNM,1886
STATE BK OF SOUTHERN UT/SOUTHERN UT BC ,462,SNM,1882
FVCBANK/FVCBANKCORP ,463,SMB,1880
FIRST FARMERS & MRCH B/FIRST FARMERS & MRCH CORP ,464,SMB,1877
ST CHARLES B&TC NA/WINTRUST FC ,465,NAT,1873
TEXAS FIRST BK/TEXAS INDEPENDENT BSHRS ,466,SMB,1873
PINNACLE BK/PINNACLE BC ,467,SNM,1860
CFG CMNTY BK/CAPITAL FUND BC ,468,SNM,1856
FARMERS B&TC/MAGNOLIA BKG CORP ,469,SMB,1853
PCSB BK/PCSB FC ,470,SNM,1853
FIRST CMNTY BK/FIRST COMMUNITY BSHRS ,471,SNM,1852
CEDAR RAPIDS B&TC/QCR HOLDS ,472,SMB,1846
STRIDE BK NA/CENTRAL SVC CORP ,473,NAT,1842
INTERNATIONAL BK OF CMRC/INTERNATIONAL BSHRS CORP ,474,SNM,1837
COMMUNITY NB&TC/COMMUNITY BC ,475,NAT,1831
MERCHANTS BK OF CMRC/BANK OF CMRC HOLD ,476,SNM,1828
SELECT B&TC/SELECT BC ,477,SNM,1826
LCNB NB/LCNB CORP ,478,NAT,1815
1ST CONSTITUTION BK/1ST CONSTITUTION BC ,479,SNM,1806
CENTRAL BK OF THE OZARKS/CENTRAL BANCOMPANY INC ,480,SMB,1802
FIRST NB OF FORT SMITH/FIRST BK CORP ,481,NAT,1800
COLONY BK/COLONY BC ,482,SNM,1796
FIVE POINTS BK/HOMETOWN BC ,483,SMB,1794
BANKFIRST FINANCIAL SVC/BANKFIRST CAP CORP ,484,SMB,1780
FIRST NORTHERN BK/FIRST NORTHERN CMNTY BC ,485,SNM,1780
FIRST UNITED B&TR/FIRST UNITED CORP ,486,SNM,1764
SOUTHERN BANCORP BK/SOUTHERN BC ,487,SMB,1761
SOMERSET TC/SOMERSET TR HC ,488,SNM,1753
INCREDIBLEBANK/RIVER VALLEY BC ,489,SNM,1746
FIRST SAVINGS BK/FIRST SVG FNCL GR ,490,SMB,1746
BEVERLY B&TC NA/WINTRUST FC ,491,NAT,1745
MAINSTREET BK/MAINSTREET BSHRS ,492,SMB,1743
BANK OF TN/BANCTENN CORP ,493,SNM,1742
MERIDIAN BK/MERIDIAN CORP ,494,SNM,1740
CITIZENS CMNTY FED NA/CITIZENS CMNTY BC ,495,NAT,1732
HAWTHORN BK/HAWTHORN BSHRS ,496,SNM,1724
NEXTIER BK NA/NEXTIER ,497,NAT,1722
FIRST HOME BK/FIRST HOME BC ,498,SMB,1717
QUEENSBOROUGH NB&TC/QUEENSBOROUGH CO ,499,NAT,1716
NORTHEAST BK/ ,500,SNM,1715
BANK IA/BANK IA CORP ,501,SMB,1713
CITIZENS NB/FIRST CITIZENS BSHRS ,502,NAT,1701
ESSEX BK/COMMUNITY BKR TR CORP ,503,SMB,1699
TEXAS CMNTY BK/VISION BSHRS ,504,SMB,1691
BANK OF PRINCETON/ ,505,SNM,1685
CITIZENS NB OF MERIDIAN/CITIZENS NAT BANC CORP ,506,NAT,1680
CENTRAL BK/CENTRAL BC ,507,SNM,1677
COMMERCIAL BK/UNIFIED SHARES LLC ,508,SMB,1673
COMMERCIAL BK/ROBERTSON HC LP ,508,SMB,NA
BANK OF SOUTHERN CA NA/SOUTHERN CA BC ,509,NAT,1673
OAK VALLEY CMNTY BK/OAK VALLEY BC ,510,SMB,1666
OAKSTAR BK/OAKSTAR BSHRS ,511,SMB,1663
FARMERS & MERCHANTS BK/FARMERS & MERCHANTS BSHRS ,512,SMB,1657
STATE BK OF CROSS PLAINS/SBCP BC ,513,SNM,1654
FALCON INTL BK/FALCON BSHRS ,514,SNM,1651
TEXAS PTNRS BK/SOUTHWEST BSHRS ,515,SNM,1650
COMMERCIAL BK OF CALIFORNIA/CBC BC ,516,SNM,1646
HERITAGE SOUTHEAST BK/HERITAGE SOUTHEAST BC ,517,SNM,1645
STARION BK/STARION BC ,518,SNM,1645
BLACKHAWK B&T/BLACKHAWK BC ,519,SNM,1642
PROGRESS B&T/PROGRESS FC ,520,SNM,1638
BANK OF CMRC/ ,521,SNM,1635
US CENTURY BK/ ,522,SNM,1633
SUNRISE BKS NA/DBA SUNRISE BKS ,523,NAT,1631
CONWAY NB/CNB CORP ,524,NAT,1626
FIRST UNITED BK/PLAINS BC ,525,SNM,1625
MAHOPAC BK/TOMPKINS FNCL CORP ,526,SNM,1622
PIEDMONT BK/PIEDMONT BC ,527,SNM,1622
BANKFINANCIAL NA/BANKFINANCIAL CORP ,528,NAT,1620
ARIZONA BK & TR/HEARTLAND FNCL USA ,529,SNM,1615
SOUTH CENT BK/SOUTH CENTRAL BSHRS OF KY ,530,SNM,1612
TEXAS RGNL BK/TEXAS ST BSHRS ,531,SMB,1611
PINNACLE BK/PINNACLE FC ,532,SNM,1608
WESTERN ST BK/WESTERN ST AGY INC ESOP & TR ,533,SNM,1607
FIDELITY B&T/FIDELITY CO ,534,SNM,1599
CFBANK NA/CF BSHRS ,535,NAT,1598
FARMERS & MERCHANTS TR CO OF/FRANKLIN FNCL SVC CORP ,536,SNM,1597
STATE BK OF THE LAKES NA/WINTRUST FC ,537,NAT,1591
CENTRAL BK/COMMERCIAL FNCL CORP ,538,SMB,1591
KITSAP BK/OLYMPIC BC ,539,SNM,1588
CNB B&T NA/CNB BK SHARES ,540,NAT,1585
ILLINOIS B&TC/HEARTLAND FNCL USA ,541,SNM,1585
FIRST CITIZENS BK/FIRST CITIZENS FNCL CORP ,542,SMB,1584
PACIFIC MERC BK/PACIFIC MERC BC ,543,SMB,1579
HEARTLAND BK/HEARTLAND BC ,544,SMB,1568
FIRST FINANCIAL BK/FIRST FINANCIAL BANC CORP ,545,SMB,1557
PEOPLES BK/NORTHWEST IN BC ,546,SNM,1556
QNB BK/QNB CORP ,547,SNM,1556
NATIONAL BK OF BLACKSBURG/NATIONAL BSHRS ,548,NAT,1552
SANTA CRUZ CTY BK/ ,549,SNM,1551
CITIZENS BK/CITIZENS HC ,550,SNM,1548
LYONS NB/LYONS BC ,551,NAT,1547
ADIRONDACK TC/ADIRONDACK TC ESOT ,552,SMB,1543
FIRST NB/CAPITOL BC ,553,NAT,1543
UNITED BKR BK/UNITED BKR BC ,554,SMB,1540
PEOPLES BK/PEOPLES BC OF NC ,555,SNM,1535
NORTH DALLAS B&TC/ ,556,SNM,1534
AVIDBANK/AVIDBANK HOLD ,557,SNM,1533
EPHRATA NB/HIBSHMAN TR FOR EPHRATA NB STK ,558,NAT,1531
INB NA/ILLINOIS NAT BC ,559,NAT,1530
PACIFIC COAST BKR BK/PACIFIC COAST BKR BSHRS ,560,SMB,1527
MABREY BK/MABREY BC ,561,SMB,1525
SCHAUMBURG B&TC NA/WINTRUST FC ,562,NAT,1515
LINCOLN SVGS BK/LINCOLN BC ,563,SNM,1511
AMERICAN HERITAGE BK/AMERICAN BC ,564,SMB,1507
MBANK/MACKINAC FC ,565,SNM,1506
CORTRUST BK NA/HOPKINS FC ,566,NAT,1502
FORCHT BK NA/FORCHT BC INC ,567,NAT,1499
WATERFORD BK NA/WATERFORD BC ,568,NAT,1498
FNCB BK/FNCB BC ,569,SNM,1495
FIRST AMER BK/FIRST ARTESIA BSHRS ,570,SNM,1495
COMMUNITY NB/MIDLAND BSHRS ,571,NAT,1493
FIRST CMNTY BK/FIRST CMNTY CORP ,572,SNM,1492
PEOPLES NB/MARKET STREET BSHRS ,573,NAT,1492
GLENVIEW ST BK/CUMMINS-AMER CORP ,574,SNM,1491
BANK FIVE NINE/OCONOMOWOC BSHRS ,575,SNM,1490
INVESTORS CMNTY BK/COUNTY BC ,576,SNM,1488
FIRST NB IN SIOUX FALLS/MINNEHAHA BSHRS ,577,NAT,1481
SECURITY ST B&TC/SECURITY HC ,578,SNM,1475
COMMUNITY BK/CB FNCL SERV INC ,579,SNM,1475
EMBASSY BK FOR THE LEHIGH VALL/EMBASSY BC ,580,SNM,1467
INTERNATIONAL BK OF CMRC/INTERNATIONAL BSHRS CORP ,581,SNM,1465
SOUTHERN ST BK/SOUTHERN ST BSHRS ,582,SNM,1459
OPEN BK/OP BC ,583,SNM,1455
MOODY NB/MOODY BSHRS ,584,NAT,1453
FIRST NAT B&TC/CENTRE 1 BC ,585,NAT,1447
COMMUNITY FNCL SVC BK/COMMUNITY FNCL SVC ESOP ,586,SMB,1445
BANK OF UTICA/ ,587,SNM,1441
BANKWEST/SOUTH DAKOTA BSHRS ,588,SNM,1441
FIRST ST BK/RED RIVER BC ,589,SMB,1440
COMMONWEALTH BUS BK/CBB BC ,590,SMB,1437
FIRST FNCL NW BK/FIRST FNCL NW ,591,SNM,1430
BANK OF BLUE VALLEY/HEARTLAND FNCL USA ,592,SNM,1425
ONE CMNTY BK/BOSSHARD FNCL GRP ,593,SMB,1421
BANK OF NY MELLON TC NA/BANK OF NY MELLON CORP ,594,NAT,1420
WEST TX NB/FIRST WEST TX BSHRS ,595,NAT,1418
TRADITION CAP BK/TRADITION BSHRS ,596,SNM,1414
SALISBURY B&TC/SALISBURY BC ,597,SNM,1403
PREMIER BK/PREMIER FNCL BC ,598,SNM,1395
MIDDLEFIELD BKG CO/MIDDLEFIELD BC ,599,SNM,1388
CECILIAN BK/FIRST CECILIAN BANCORP ,600,SNM,1388
AVAILA BK/CARROLL CTY BSHRS ,601,SNM,1387
FIRST ST BK/TRI-COUNTY FNCL GRP ,602,SNM,1385
FARMERS ST BK/FSB FS ,603,SNM,1380
BENEFICIAL ST BK/BENEFICIAL ST FOUND ,604,SNM,1379
SECURITY NB OF SIOUX CITY IA/SECURITY NAT CORP ,605,NAT,1378
RIVERVIEW BK/RIVERVIEW FC ,606,SNM,1374
VISTA BK/VISTA BSHRS ,607,SMB,1371
CITIZENS NB/CNB BSHRS ,608,NAT,1367
SUSSER BK/SBH MANAGER LLC ,609,SMB,1366
BANK OF JACKSON HOLE/BANCSHARES OF JACKSON HOLE ,610,SMB,1366
MISSION BK/MISSION BC ,611,SMB,1362
CALPRIVATE BK/PRIVATE BC OF AMER ,612,SNM,1359
STERLING BK/STERLING BSHRS ,613,SNM,1358
SAVINGS BK OF MENDOCINO CTY/ ,614,SNM,1357
ONE BK OF TN/BPC CORP ,615,SNM,1357
LIMESTONE BK/LIMESTONE BC ,616,SNM,1354
PROVIDENCE B&TC/PROVIDENCE FC ,617,SNM,1353
GUARANTY B&TC/GUARANTY CAPITAL CORP ,618,SNM,1352
JEFF DAVIS B&TC/JD BSHRS ,619,SNM,1351
VALLEY REPUBLIC BK/VALLEY REPUBLIC BC ,620,SNM,1349
PLANTERS B&TC/PLANTERS HOLDING COMPANY ,621,SNM,1348
SECURITY FIRST BK/STOCKMENS FC ,622,SNM,1344
MORRIS BK/MORRIS ST BSHRS ,623,SNM,1339
SUNCREST BK/ ,624,SNM,1338
CRYSTAL LAKE B&TC NA/WINTRUST FC ,625,NAT,1336
SIGNATURE BK/SIGNATURE BC ,626,SNM,1326
JERSEY SHORE ST BK/PENNS WOODS BC ,627,SNM,1325
WAUKESHA ST BK/BANK ST CAP CORP ,628,SNM,1324
F&M BK/F&M FC ,629,SNM,1320
STATE B&TC/SB FNCL GRP ,630,SMB,1319
SIGNATURE BK NA/SIGNATURE BC ,631,NAT,1318
PLANTERS BK/PLANTERS FNCL GRP ,632,SNM,1314
WESTCHESTER BK/WESTCHESTER BHC ,633,SNM,1313
WALLIS BK/WALLIS BSHRS ,634,SNM,1312
INLAND B&TC/INLAND BC ,635,SNM,1307
AMERICAN BK CMRC/AMERICO BSHRS ,636,SNM,1306
HERITAGE BK INC/COMMONWEALTH HOLDINGS LLC ,637,SNM,1304
STATE BK/FENTURA FNCL ,638,SNM,1302
OPPORTUNITY BK OF MT/EAGLE BC MT ,639,SMB,1302
PATHFINDER BK/PATHFINDER BC ,640,SNM,1301
AMERISERV FNCL BK/AMERISERV FNCL ,641,SMB,1297
BANK OF SPRINGFIELD/SPRING BC ,642,SNM,1297
CITIZENS NB NA/CITIZENS NAT BSHRS OF BOSSIER ,643,NAT,1294
1ST SUMMIT BK/1ST SUMMIT BC OF JOHNSTOWN ,644,SNM,1281
VINTON CTY NB/COMMUNITY BSHRS ,645,NAT,1277
FIRST VOLUNTEER BK/FIRST VOLUNTEER CORP ,646,SNM,1276
KENTUCKY BK/KENTUCKY BSHRS INC ,647,SNM,1271
CITIZENS ST BK/INDUSTRY BSHRS ,648,SNM,1268
NORTH ST BK/NORTH STATE BC ,649,SMB,1266
ALMA BK/ ,650,SNM,1265
LEGACY BK/MIDSTATE BC ,651,SNM,1265
WISCONSIN B&TC/HEARTLAND FNCL USA ,652,SNM,1264
GOLDEN BK NA/ ,653,NAT,1264
CASS CMRL BK/CASS INFO SYS ,654,SMB,1264
NODAWAY VALLEY BK/NODAWAY VALLEY BSHRS ,655,SNM,1257
FIRSTBANK SW/FIRSTPERRYTON BC ,656,SNM,1256
THOMASVILLE NB/THOMASVILLE BSHRS ,657,NAT,1255
ALLIANCE BK/ALLIANCE BSHRS ,658,SNM,1254
OLD POINT NB OF PHOEBUS/OLD POINT FC ,659,NAT,1250
ARMED FORCES BK NA/DICKINSON FC II ,660,NAT,1249
BANKERS BK/BANKERS BC ,661,SMB,1248
LANDMARK NB/LANDMARK BC INC ,662,NAT,1246
BANK OF THE PACIFIC/PACIFIC FC ,663,SNM,1244
SABINE ST B&TC/SABINE BSHRS ,664,SNM,1242
FIRST NB&TC NEWTOWN/FNB BC ,665,NAT,1238
CHESAPEAKE BK/CHESAPEAKE FNCL SHARES ,666,SMB,1238
PINNACLE BK WY/PINNACLE BC ,667,SNM,1237
NANO BANC/ALLEGIANT UNITED HOLDS LLC ,668,SMB,1237
MEADOWS BK/ ,669,SNM,1237
DIETERICH BK/PRIME BANC CORP ,670,SMB,1235
DBA TAB BANK/TAB BK HOLDS ,671,SNM,1234
GUARANTY BK/GUARANTY FED BSHRS ,672,SNM,1226
BNC NB/BNCCORP ,673,NAT,1226
FIRST ST BK OF THE FL/FIRST ST BK OF THE FL KEYS HC ,674,SNM,1225
PARK BK/PARK BC ,675,SNM,1218
COMMONWEALTH B&TC/COMMONWEALTH BSHRS ,676,SNM,1214
FIRST KEYSTONE CMNTY BK/FIRST KEYSTONE CORP ,677,SNM,1213
EVERGREEN BK GRP/BANCORP FNCL ,678,SNM,1211
AMERICAN B&T/LEACKCO BHC ,679,SNM,1210
OHIO VALLEY BK CO/OHIO VALLEY BC ,680,SMB,1210
FIRST B&TC/FIRST TR CORP ,681,SNM,1209
ANDERSON BROS BK/ANDERSON BSHRS ,682,SNM,1208
NBKC BK/AMERI-NATIONAL CORP ,683,SNM,1207
CENTRAL NB/CENTRAL OF KS ,684,NAT,1207
TROY B&TC/TRUST NO 3 UNDER THE WILL OF ,685,SNM,1207
PLUMAS BK/PLUMAS BC ,686,SMB,1206
MALVERN BK NA/MALVERN BC ,687,NAT,1205
BLACKHAWK BK/BLACKHAWK BC ,688,SNM,1197
INDEPENDENT BK/INDEPENDENT HOLDINGS ,689,SNM,1195
UNITED SCTY BK/UNITED SCTY BSHRS ,690,SMB,1186
